3764
0	104	0
0	844	0
0	501	0
0	236	0
0	141	0
679	756	142
2591	2771	220
4160	4257	401
13114	13285	499
23602	23759	671
25307	25782	829
0	53	0
245	322	54
2157	2337	132
3726	3823	313
12680	12851	411
23168	23325	583
24873	24942	741
0	675	0
10992	11149	676
12697	12860	834
0	41	0
74134	74255	42
76981	77270	164
0	678	0
1458	1969	679
0	41	0
369	1365	42
2070	2119	1039
0	365	0
0	165	0
18628	18716	166
25793	26365	255
39814	39963	828
40230	40373	978
41389	41541	1122
42659	42799	1275
43529	47225	1416
0	57	0
18520	18608	58
39706	39855	147
40122	40265	297
41281	41433	441
42551	42691	594
43421	44958	735
0	292	0
18432	18520	293
25597	26169	382
39618	39767	955
40034	40177	1105
41193	41345	1249
42463	42603	1402
43333	47028	1543
0	269	0
39595	39744	270
40011	40154	420
42440	42553	564
0	264	0
18404	18492	265
25569	25781	354
0	118	0
25423	25995	119
39444	39593	692
39860	40003	842
42289	42429	986
43159	45495	1127
0	95	0
14994	15083	96
35469	35782	186
0	261	0
991	1531	262
0	206	0
0	295	0
685	773	296
910	943	385
0	305	0
76372	76429	306
94083	94305	364
0	219	0
76286	76343	220
93997	94058	278
99087	99274	340
0	1018	0
0	158	0
0	86	0
183	1000	87
0	926	0
0	1063	0
0	1549	0
0	1645	0
0	416	0
0	223	0
63489	63823	224
0	105	0
0	1163	0
0	368	0
3649	3861	369
0	136	0
3417	3590	137
5299	5560	311
0	379	0
31680	31785	380
32444	32502	486
56663	57233	545
97989	100481	1116
104118	105218	3609
0	309	0
30603	30771	310
31610	31715	479
32374	32432	585
56593	57163	644
97919	100411	1215
104048	105163	3708
0	215	0
2298	2368	216
31516	31557	287
0	205	0
2288	2358	206
32270	32328	277
56489	56688	336
0	190	0
0	1371	0
42127	45349	1372
0	1369	0
42125	44617	1370
48254	48610	3863
0	1369	0
42125	44617	1370
444967	445165	3863
525685	525708	4062
681182	686134	4086
0	854	0
0	1219	0
0	1286	0
0	175	0
0	437	0
0	1236	0
0	463	0
0	308	0
849	994	309
1108	1164	455
0	145	0
258	348	146
1677	1988	237
0	132	0
394	531	133
1133	1210	271
1339	1450	349
1552	1697	461
1804	1885	607
2580	2669	689
0	531	0
1133	1210	532
1339	1450	610
1552	1697	722
1804	1885	868
2580	2790	950
0	485	0
1087	1164	486
1293	1404	564
1506	1651	676
1747	1839	822
2534	2743	915
0	485	0
1087	1164	486
1293	1839	564
1967	2750	1111
0	297	0
404	485	298
1180	1381	380
0	2125	0
5677	5762	2126
7567	7686	2212
0	59	0
3611	3769	60
5269	5414	219
5501	5602	365
0	96	0
1596	1741	97
1828	1929	243
0	476	0
1083	1160	477
1289	1399	555
1499	1641	666
1749	1837	809
2536	2682	898
0	82	0
189	333	83
423	486	228
0	32	0
642	1117	33
0	329	0
1381	1458	330
1654	1769	408
1856	1878	524
0	101	0
188	327	102
1790	1877	242
0	177	0
10693	10842	178
12843	12942	328
13750	13860	428
14258	14368	539
14479	14560	650
14970	15271	732
0	218	0
1465	1607	219
4109	4194	362
0	244	0
3669	3828	245
10692	10800	405
13157	13294	514
20876	21133	652
0	679	0
1903	2100	680
2221	2299	878
5130	5286	957
5979	6127	1114
13521	13607	1263
16084	17901	1350
0	201	0
3539	3643	202
0	36	0
978	1139	37
3447	3521	199
4210	4686	274
6604	6717	751
8193	8438	865
0	36	0
978	1139	37
3447	3521	199
4210	4686	274
6604	6717	751
7691	7946	865
8193	8438	1121
0	249	0
2068	2280	250
3756	4001	463
0	176	0
2040	2244	177
2722	2857	382
0	189	0
1782	1986	190
2464	2599	395
0	95	0
3609	3781	96
0	466	0
0	218	0
0	191	0
0	545	0
0	160	0
2119	2544	161
2814	2858	587
4088	4135	632
6637	6702	680
8054	8109	746
0	5	0
1964	2389	6
2659	2703	432
2795	2836	477
3933	3980	519
6482	6535	567
0	95	0
394	619	96
0	296	0
1402	1486	297
67527	67557	382
85118	85212	413
110763	110851	508
114349	114456	597
132294	132439	705
153211	153463	851
159510	159642	1104
160034	160175	1237
160874	160937	1379
161047	161144	1443
163874	163934	1541
170046	170167	1602
175212	175286	1724
175604	175731	1799
176581	176746	1927
179403	179504	2093
180786	180997	2195
0	296	0
1402	1486	297
85118	85212	382
110763	110851	477
114349	114456	566
132294	132439	674
153211	153463	820
159510	159642	1073
160034	160175	1206
160874	160937	1348
161047	161144	1412
163874	163934	1510
170046	170167	1571
175212	175286	1693
175604	175731	1768
176581	176746	1896
179403	179504	2062
180786	180997	2164
0	296	0
1402	1486	297
67527	67557	382
110763	110851	413
114349	114456	502
132294	132439	610
153211	153463	756
159510	159642	1009
160034	160175	1142
160874	160937	1284
161047	161144	1348
163874	163934	1446
170046	170167	1507
175212	175286	1629
175604	175731	1704
176581	176746	1832
179403	179504	1998
180786	180997	2100
0	2109	0
0	94	0
5660	5769	95
0	506	0
29965	30133	507
51934	52197	676
67143	67262	940
82163	82258	1060
93384	93461	1156
97771	97917	1234
101740	107576	1381
0	165	0
29624	29792	166
51593	51856	335
66802	66921	599
81822	81917	719
93043	93120	815
97430	97555	893
0	298	0
0	102	0
1960	2336	103
0	78	0
8085	8204	79
23105	23193	199
0	111	0
0	107	0
0	104	0
0	384	0
0	299	0
707	795	300
885	995	389
3623	3728	500
4168	4281	606
0	311	0
1368	1433	312
1629	1721	378
1821	1965	471
2084	2129	616
0	64	0
158	303	65
402	512	211
644	717	322
1338	1809	396
0	326	0
1649	1766	327
1853	2022	445
2121	2167	615
0	130	0
1830	1890	131
0	112	0
8871	9073	113
16472	16855	316
36378	36486	700
63536	63722	809
0	432	0
33926	34112	433
34239	34433	620
62900	63009	815
66559	66666	925
0	155	0
4937	5759	156
0	396	0
696	969	397
0	1190	0
0	522	0
1578	1767	523
0	668	0
0	18	0
697	802	19
3638	3707	125
4574	4643	195
0	819	0
0	1222	0
1706	1827	1223
0	108	0
2103	2105	109
4518	4695	112
6555	6670	290
6996	7032	406
15096	15208	443
16078	16184	556
16264	16357	663
16772	17073	757
0	316	0
726	813	317
885	995	405
1866	1980	516
6831	6980	631
12105	12207	781
12632	12739	884
0	137	0
1503	1612	138
1699	1844	248
1963	2011	394
0	1212	0
0	423	0
0	1118	0
0	367	0
0	469	0
0	417	0
763	1017	418
0	1109	0
0	384	0
0	112	0
5838	6033	113
6385	6548	309
0	62	0
351	508	63
0	87	0
631	811	88
0	96	0
578	893	97
5690	5992	413
11551	11634	716
34036	34072	800
0	55	0
167	310	56
398	536	200
1788	2073	339
0	108	0
870	973	109
3659	3836	213
5722	5874	391
7869	7980	544
8860	8970	656
9052	9140	767
9547	9849	856
0	112	0
1998	2150	113
4145	4207	266
0	385	0
0	143	0
236	280	144
1976	2344	189
0	136	0
461	635	137
4079	4194	312
5863	5936	428
7082	7173	502
9206	9394	594
0	1617	0
0	91	0
1908	2109	92
0	123	0
559	1443	124
3963	4086	1009
9463	9652	1133
11765	11971	1323
14768	14982	1530
0	332	0
0	301	0
886	996	302
1495	1605	413
2043	2152	524
2580	2690	634
3646	3760	745
5809	5961	860
7862	8039	1013
11055	11158	1191
11631	11739	1295
0	248	0
0	176	0
4871	4952	177
0	549	0
1157	1234	550
1363	1474	628
1576	1721	740
1828	1909	886
2604	2814	968
0	86	0
366	503	87
1111	1188	225
1317	1428	303
1530	1675	415
1782	1883	561
0	503	0
1111	1188	504
1317	1428	582
1530	1675	694
1771	1863	840
2558	2767	933
0	503	0
1111	1188	504
1317	1863	582
1991	2774	1129
0	297	0
393	485	298
1180	1381	391
0	2128	0
5679	5764	2129
7570	7679	2215
7876	7890	2325
0	60	0
3611	3769	61
5270	5415	220
5502	5603	366
0	148	0
235	344	149
1668	1968	259
0	531	0
1139	1216	532
1345	1456	610
1558	1703	722
1810	1891	868
2586	2796	950
0	86	0
348	485	87
1093	1170	225
1299	1410	303
1512	1531	415
0	485	0
1093	1170	486
1299	1410	564
1512	1657	676
1753	1845	822
2540	2749	915
0	485	0
1093	1170	486
1299	1845	564
1973	2756	1111
0	297	0
404	485	298
1180	1381	380
0	2113	0
5663	5748	2114
7558	7667	2200
7864	7878	2310
0	59	0
3609	3767	60
5272	5417	219
5504	5605	365
0	41	0
160	305	42
392	501	188
698	762	298
916	961	363
1174	1205	409
1391	1423	441
1832	2123	474
0	484	0
1092	1169	485
1298	1409	563
1511	1656	675
1763	1844	821
2539	2749	903
0	2128	0
5684	5769	2129
7585	7694	2215
7891	7905	2325
0	59	0
3615	3773	60
5284	5429	219
5516	5617	365
0	41	0
160	305	42
392	501	188
698	762	298
916	961	363
1174	1205	409
1391	1423	441
1832	2123	474
0	531	0
1139	1216	532
1345	1456	610
1558	1703	722
1810	1891	868
2586	2796	950
0	86	0
348	485	87
1093	1170	225
1299	1409	303
0	485	0
1093	1170	486
1299	1410	564
1512	1657	676
1753	1845	822
2540	2749	915
0	485	0
1093	1170	486
1299	1845	564
1973	2756	1111
0	297	0
393	485	298
1180	1381	391
0	189	0
3745	3830	190
5631	5744	276
0	59	0
3615	3773	60
5269	5414	219
5501	5602	365
0	41	0
160	305	42
392	464	188
466	501	261
698	762	297
916	961	362
1173	1204	408
1390	1422	440
1831	2122	473
0	531	0
1139	1216	532
1345	1456	610
1558	1703	722
1810	1891	868
2584	2793	950
0	531	0
1139	1216	532
1345	1456	610
1558	1703	722
1799	1891	868
2584	2793	961
0	59	0
3611	3769	60
5268	5413	219
5500	5601	365
0	145	0
232	341	146
533	597	256
779	830	321
1684	1918	373
0	503	0
1111	1188	504
1317	1428	582
1530	1675	694
1782	1863	840
2558	2580	922
0	2113	0
5664	5749	2114
7553	7662	2200
7858	7872	2310
0	59	0
3610	3768	60
5267	5412	219
5499	5600	365
0	89	0
208	353	90
440	549	236
745	821	346
1873	2166	423
0	218	0
237	502	219
1110	1187	485
1316	1427	563
1529	1674	675
1781	1862	821
2557	2579	903
0	2126	0
5677	5762	2127
7568	7677	2213
7874	7888	2323
0	59	0
3610	3768	60
5269	5414	219
5501	5602	365
0	41	0
160	305	42
392	501	188
698	827	298
894	920	428
1403	1422	455
1822	2122	475
0	531	0
1139	1216	532
1345	1456	610
1558	1703	722
1810	1891	868
2586	2796	950
0	485	0
1093	1170	486
1299	1410	564
1512	1657	676
1753	1845	822
2540	2749	915
0	485	0
1093	1170	486
1299	1845	564
1973	2756	1111
0	297	0
404	485	298
1180	1381	380
0	89	0
208	353	90
440	549	236
746	807	346
1875	2230	408
0	472	0
1080	1157	473
1286	1397	551
1499	1643	663
1739	1831	808
2552	2573	901
0	300	0
713	796	301
882	992	385
1850	1963	496
4519	4665	610
6582	6756	757
10056	10159	932
10597	10705	1036
0	362	0
1387	1473	363
1679	1791	450
1878	2018	563
2129	2169	704
0	467	0
0	172	0
3694	3781	173
0	135	0
613	817	136
2410	2599	341
0	135	0
613	817	136
2681	2857	341
0	245	0
1721	1933	246
3752	4001	459
0	245	0
492	747	246
1721	1834	502
3752	4228	616
4917	4991	1093
7299	7460	1168
8402	8438	1330
0	245	0
1721	1834	246
3752	4228	360
4917	4991	837
7299	7460	912
8402	8438	1074
0	104	0
3442	3643	105
0	1817	0
4294	4380	1818
11765	11913	1905
12606	12762	2054
15593	15671	2211
15792	15989	2290
17213	17892	2488
0	257	0
7839	7976	258
10333	10441	396
17305	17464	505
20889	21133	665
0	154	0
3621	3732	155
8158	8232	267
8918	8956	342
12047	12092	381
0	85	0
2587	2729	86
3980	4198	229
0	301	0
717	792	302
903	1013	378
1411	1521	489
2329	2428	600
4429	4578	700
15101	15278	850
0	240	0
0	475	0
1085	1117	476
0	19	0
709	793	20
903	1045	105
1145	1255	248
1384	1461	359
2068	2544	437
0	56	0
170	315	57
856	1164	203
0	108	0
570	645	109
5887	5999	185
6866	6976	298
7057	7145	409
7559	7870	498
0	300	0
706	794	301
881	991	390
1868	1982	501
4021	4172	616
7900	8077	768
11066	11166	946
11599	11698	1047
0	357	0
1704	1772	358
1868	2013	427
2124	2180	573
0	55	0
747	832	56
0	22	0
714	795	23
902	1047	105
1145	1256	251
1385	1462	363
2070	2564	441
0	278	0
0	105	0
1140	1560	106
0	118	0
0	405	0
0	118	0
0	526	0
0	1135	0
0	354	0
0	1921	0
0	1847	0
0	151	0
0	221	0
0	585	0
0	198	0
0	207	0
0	168	0
0	242	0
0	212	0
1024	1182	213
1796	2020	372
2710	2830	597
3196	3265	718
4679	5155	788
0	203	0
0	510	0
0	1263	0
0	1266	0
0	1266	0
0	1266	0
0	168	0
560	2066	169
0	215	0
4389	4525	216
5413	5521	353
9306	9455	462
10298	10404	612
28288	28463	719
41049	41176	895
42291	42433	1023
44938	45108	1166
0	40	0
172	1377	41
0	85	0
4849	4929	86
6082	6168	167
0	146	0
0	393	0
0	330	0
453	510	331
0	1475	0
0	1233	0
0	191	0
10874	15831	192
